"Date","Price","Open","High","Low","Vol.","Change %"
"17-11-2023","52,756.10","52,237.95","52,809.75","52,237.95","17.24M","0.86%"
"16-11-2023","52,305.75","52,390.80","52,680.40","52,225.55","24.49M","-0.15%"
"15-11-2023","52,383.45","52,333.70","52,434.90","52,039.40","22.75M","0.69%"
"13-11-2023","52,025.60","52,170.95","52,182.55","51,917.65","11.55M","-0.10%"
"10-11-2023","52,076.05","51,959.30","52,129.15","51,689.05","17.98M","0.18%"
"09-11-2023","51,983.00","52,537.85","52,562.50","51,946.15","20.34M","-0.90%"
"08-11-2023","52,455.20","52,262.50","52,498.65","52,153.80","16.99M","0.62%"
"07-11-2023","52,130.00","52,089.90","52,216.45","51,934.25","18.28M","0.10%"
"06-11-2023","52,075.70","52,035.40","52,166.35","51,966.65","17.00M","0.34%"
"03-11-2023","51,901.50","51,777.05","51,984.60","51,660.25","26.14M","0.61%"
"02-11-2023","51,589.00","51,408.40","51,633.90","51,164.25","20.78M","0.98%"
"01-11-2023","51,087.80","51,391.60","51,462.45","50,997.40","19.67M","-0.34%"
"31-10-2023","51,262.60","51,213.50","51,418.45","51,125.25","19.80M","0.16%"
"30-10-2023","51,180.70","51,330.15","51,501.95","50,951.95","16.97M","-0.42%"
"27-10-2023","51,395.00","50,967.85","51,502.45","50,948.10","24.28M","0.89%"
"26-10-2023","50,941.10","50,969.35","51,089.85","50,607.00","34.43M","-0.54%"
"25-10-2023","51,216.85","51,385.20","51,619.60","50,954.35","24.09M","-0.40%"
"23-10-2023","51,421.65","51,771.70","51,956.50","51,335.05","16.05M","-0.78%"
"20-10-2023","51,823.35","52,164.60","52,400.60","51,762.45","34.76M","-1.32%"
"19-10-2023","52,516.35","52,170.00","52,667.20","52,077.10","22.56M","0.14%"
"18-10-2023","52,442.05","52,770.30","52,772.80","52,381.20","16.97M","-0.42%"
"17-10-2023","52,665.30","52,494.85","52,851.45","52,383.45","21.25M","0.50%"
